"ID" "CITY" "STATE" "ZIP" "Q050" "Q051" "Q052" "Q053" "Q054" "Q055" "Q056" "Q057" "Q058" "Q059" "Q060" "Q061" "Q062" "Q063" "Q064" "Q065" "Q066" "Q067" "Q068" "Q069" "Q070" "Q071" "Q072" "Q073" "Q074" "Q075" "Q076" "Q077" "Q078" "Q079" "Q080" "Q081" "Q082" "Q083" "Q084" "Q085" "Q086" "Q087" "Q088" "Q089" "Q090" "Q091" "Q092" "Q093" "Q094" "Q095" "Q096" "Q097" "Q098" "Q099" "Q100" "Q101" "Q102" "Q103" "Q104" "Q105" "Q106" "Q107" "Q109" "Q110" "Q111" "Q115" "Q117" "Q118" "Q119" "Q120" "Q121" "lat" "long"
1 "Boise" "ID" "83704" 4 1 3 2 3 1 1 2 2 20 8 4 2 1 1 2 2 1 7 4 6 5 1 6 1 1 7 4 3 9 8 1 16 7 6 6 3 1 1 3 1 2 3 2 3 6 2 6 0 6 0 5 11 3 1 5 8 3 1 8 2 1 6 7 3 2 3 43.63123 -116.287161
2 "Pittsfield" "MA" "01201" 4 2 3 2 2 2 2 1 1 21 8 0 2 1 2 2 1 1 3 3 6 2 1 1 13 1 1 1 3 1 1 1 12 1 1 2 2 1 4 2 1 2 3 2 3 1 3 5 0 3 4 2 1 4 1 1 1 3 1 8 2 1 1 7 1 1 3 42.45384 -73.254003
3 "Burlington" "VT" "05401" 4 1 2 2 2 2 2 2 3 20 9 6 2 1 1 2 1 1 7 6 7 5 1 1 3 3 1 1 1 1 1 1 2 1 1 2 1 1 7 3 1 2 3 2 3 2 5 1 0 7 4 2 9 3 3 1 1 3 1 4 2 1 4 7 1 2 1 44.484038 -73.221265
4 "Easton" "PA" "18042" 7 1 1 2 2 2 1 1 2 20 8 4 2 1 3 3 2 1 7 6 7 5 1 1 14 1 9 1 3 7 1 1 8 5 4 1 2 1 7 3 1 2 3 3 4 1 5 2 0 2 5 2 10 4 1 1 3 3 1 8 1 1 3 7 1 2 1 40.681798 -75.22082
5 "Bedford" "MA" "01730" 8 2 3 1 2 2 2 2 3 2 5 7 2 1 1 3 1 1 7 6 6 0 1 1 5 1 1 1 3 1 1 3 2 1 1 6 1 1 3 1 1 2 3 2 3 2 7 5 0 3 4 2 1 4 1 1 1 3 1 8 3 1 5 8 1 1 1 42.496679 -71.275046
6 "SugarLand" "TX" "77479" 8 2 1 2 2 2 2 2 3 20 8 7 6 1 5 1 1 1 7 6 7 5 1 6 4 1 4 1 3 9 3 1 2 5 6 2 3 3 4 1 2 2 3 2 3 1 1 5 0 4 1 2 1 4 1 3 4 2 2 8 3 5 1 2 1 2 3 29.573345 -95.632132
7 "scituate" "MA" "02066" 7 2 3 2 2 2 2 2 2 20 8 3 2 2 1 2 1 1 4 5 7 5 1 1 12 1 7 1 2 1 1 1 17 7 1 1 1 2 4 3 1 2 3 2 1 2 3 1 0 6 4 3 10 1 3 1 1 3 1 8 1 1 4 7 1 2 3 42.205038 -70.751306
8 "Columbia" "MD" "21044" 4 1 2 2 2 2 2 2 2 20 8 7 2 1 3 1 1 1 7 6 7 5 1 1 3 1 4 4 2 1 1 1 12 7 3 2 2 2 1 1 1 2 3 2 3 1 2 1 0 7 4 2 7 4 1 1 1 5 1 3 2 1 1 1 1 2 3 39.21536 -76.878237
9 "Lakefield" "MN" "56150" 7 1 2 2 2 2 2 2 2 2 8 6 2 1 1 2 2 1 3 3 6 5 1 6 5 3 1 1 1 9 8 1 2 0 6 2 1 1 7 3 1 2 0 2 1 6 1 5 0 1 4 2 1 3 0 2 1 3 1 8 2 1 5 7 1 2 1 43.649239 -95.195012
10 "granby" "MA" "01033" 7 1 2 2 2 2 2 2 1 20 8 3 1 1 0 3 7 1 4 6 7 5 6 1 13 1 7 4 4 1 1 1 16 5 4 0 2 2 7 3 3 2 3 2 4 1 3 5 0 6 4 2 3 4 1 1 1 3 1 8 2 1 3 7 1 2 0 42.254563 -72.518316
